id,name,category,quantity,actual_price,discounted_price,discounted_reason,available_date,image_link
1304204,Green Earth Organic Molasses Sugar, Noodles & Cooking Ingredients,96,8.0,2.19,SEASONAL OFFER,2022-03-29,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90031485_XL1.jpg
1304203,Green Earth Organic Molasses Sugar, Noodles & Cooking Ingredients,140,3.0,0.26,NORMAL DISCOUNT,2022-03-28,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90031484_XL1.jpg
1304168,MH Food Liquid Oligo, Noodles & Cooking Ingredients,101,14.8,2.84,SEASONAL OFFER,2022-04-10,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90031449_XL1.jpg
1304156,Green Earth Organic Coconut Sugar, Noodles & Cooking Ingredients,199,14.9,6.29,CLEARING STOCK,2022-04-02,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90031437_XL1.jpg
1304147,Mitr Phol Coffee Sugar - Sachets, Noodles & Cooking Ingredients,41,4.0,1.66,CLEARING STOCK,2022-04-01,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90031428_XL1.jpg
1304388,Anarkali Fine Sugar, Noodles & Cooking Ingredients,8,1.7,1.26,EXPIRING SOON,2022-04-07,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90031651_XL1_20210614.jpg
1298194,Crown Maple Sugar, Noodles & Cooking Ingredients,84,25.9,18.49,EXPIRING SOON,2022-04-04,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90026653_XL1.jpg
1312559,Walden Farms Mocha Coffee Creamer, Noodles & Cooking Ingredients,178,8.5,3.21,SEASONAL OFFER,2022-04-10,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90037049_XL1.jpg
1293283,Monin Cocoa L-Artiste, Noodles & Cooking Ingredients,195,13.7,3.73,SEASONAL OFFER,2022-03-29,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90023141_XL1.jpg
1292247,Lotus Organic Brown Rice Syrup, Noodles & Cooking Ingredients,57,18.9,0.39,NORMAL DISCOUNT,2022-04-01,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90022345_XL1.jpg
1295794,Walden Farms Sweet Cream, Noodles & Cooking Ingredients,27,8.5,0.95,NORMAL DISCOUNT,2022-03-31,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90025145_XL1.jpg
1295762,Walden Farms Strawberry, Noodles & Cooking Ingredients,58,8.5,4.02,CLEARING STOCK,2022-04-06,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90025112_XL1.jpg
1295760,Walden Farms Chocolate Syrup, Noodles & Cooking Ingredients,152,8.5,1.24,NORMAL DISCOUNT,2022-04-05,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90025110_XL1.jpg
1287110,Now Foods Organic Sucanat Cane Sugar, Noodles & Cooking Ingredients,199,16.9,2.93,SEASONAL OFFER,2022-04-02,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90018355_XL1.jpg
1273565,Now Foods Confectioner-s Erythritol Organic Powder, Noodles & Cooking Ingredients,129,17.9,8.74,CLEARING STOCK,2022-03-30,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90013026_XL1.jpg
1273542,Now Foods Certified Organic Better Stevia Liquid Sweetener, Noodles & Cooking Ingredients,36,16.9,2.65,NORMAL DISCOUNT,2022-04-02,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90013003_XL1.jpg
1273511,Now Foods BetterStevia Liquid Zero-Calorie Liquid Sweetener Dark Chocolate, Noodles & Cooking Ingredients,179,16.9,0.51,NORMAL DISCOUNT,2022-04-05,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90012972_XL1.jpg
1273510,Now Foods BetterStevia Liquid Zero-Calorie Liquid Sweetener Coconut, Noodles & Cooking Ingredients,153,17.9,5.88,SEASONAL OFFER,2022-04-03,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90012971_XL1.jpg
1273509,Now Foods BetterStevia Liquid Sweetener English Toffee, Noodles & Cooking Ingredients,148,16.9,5.06,SEASONAL OFFER,2022-03-31,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90012970_XL1.jpg
1273508,Now Foods Better Stevia Zero-Calorie Liquid Sweetener Peppermint Cookie, Noodles & Cooking Ingredients,165,17.9,0.33,NORMAL DISCOUNT,2022-04-09,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90012969_XL1.jpg
1273507,Now Foods Better Stevia Zero-Calorie Liquid Sweetener Maple, Noodles & Cooking Ingredients,99,17.9,13.42,EXPIRING SOON,2022-04-07,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90012968_XL1.jpg
1273506,Now Foods Better Stevia Zero-Calorie Liquid Sweetener Lemon Twist, Noodles & Cooking Ingredients,51,16.9,0.6,NORMAL DISCOUNT,2022-03-30,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90012967_XL1.jpg
1273505,Now Foods Better Stevia Liquid Sweetener Original, Noodles & Cooking Ingredients,197,14.9,6.22,CLEARING STOCK,2022-04-01,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90012966_XL1.jpg
1273504,Now Foods Better Stevia Liquid Sweetener French Vanilla, Noodles & Cooking Ingredients,148,17.9,7.88,CLEARING STOCK,2022-03-30,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90012965_XL1.jpg
1273503,Now Foods Better Stevia Hazelnut, Noodles & Cooking Ingredients,174,17.9,5.74,SEASONAL OFFER,2022-04-07,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90012964_XL1.jpg
1273501,Now Foods Better Stevia French Vanilla, Noodles & Cooking Ingredients,14,22.9,8.78,SEASONAL OFFER,2022-03-29,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90012962_XL1.jpg
1273500,Now Foods Better Stevia Balance, Noodles & Cooking Ingredients,196,20.9,4.88,SEASONAL OFFER,2022-04-04,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90012961_XL1.jpg
1271504,Napines Sudaki Tou Japan Sugar With Resealable Pouch, Noodles & Cooking Ingredients,175,5.5,1.34,SEASONAL OFFER,2022-03-29,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90012363_XL1.jpg
1271503,Ajiwai Kokuto Mitsu - Okinawa Brown Sugar Syrup, Noodles & Cooking Ingredients,43,4.9,0.03,NORMAL DISCOUNT,2022-03-31,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90012362_XL1.jpg
1271502,Daito Sato Ajiwai Kuro Zato Granulate Brown Sugar- Kirei, Noodles & Cooking Ingredients,189,6.1,2.27,SEASONAL OFFER,2022-03-29,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90012361_XL1.jpg
1271500,Ajiwai Kokuto Japanese Okinawa Brown Rock Sugar, Noodles & Cooking Ingredients,117,8.8,2.67,SEASONAL OFFER,2022-04-03,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90012359_XL1.jpg
1283079,La Perruche White Cube Sugar, Noodles & Cooking Ingredients,123,11.95,2.41,SEASONAL OFFER,2022-04-02,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90016695_XL1.jpg
1282594,La Perruche Mixed Wrapped Cube Sugar (White & Brown), Noodles & Cooking Ingredients,195,70.5,43.93,CLEARING STOCK,2022-04-05,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90016694_XL1.jpg
1281090,Now Foods Real Food Beet Sugar, Noodles & Cooking Ingredients,137,18.9,1.12,NORMAL DISCOUNT,2022-04-07,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90015828_XL1.jpg
1281050,Now Foods Organic Monk Fruit Liquid Sweetener, Noodles & Cooking Ingredients,17,20.9,1.17,NORMAL DISCOUNT,2022-04-08,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90015787_XL1.jpg
1281049,Now Foods Organic Monk Fruit Liquid Sweetener Vanilla, Noodles & Cooking Ingredients,56,26.9,14.0,CLEARING STOCK,2022-04-10,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90015786_XL1.jpg
1281048,Now Foods Organic Monk Fruit Liquid Sweetener Chocolate, Noodles & Cooking Ingredients,27,25.9,10.96,CLEARING STOCK,2022-04-02,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90015785_XL1.jpg
1281046,Now Foods Organic Monk Fruit Zero-Calorie Sweetener, Noodles & Cooking Ingredients,133,20.9,6.31,SEASONAL OFFER,2022-04-01,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90015783_XL1.jpg
1278506,Zestiva Brown Sugar Chrysantemum & Goji Berry (10 cubes), Noodles & Cooking Ingredients,137,10.9,4.64,CLEARING STOCK,2022-03-28,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90014103_XL1_20210612.jpg
1277416,Just Organik Organic Sugar Raw & Unrefined, Noodles & Cooking Ingredients,4,3.55,1.36,SEASONAL OFFER,2022-04-03,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90013222_XL1.jpg
1277339,Now Foods Better Stevia Original, Noodles & Cooking Ingredients,156,17.9,12.36,EXPIRING SOON,2022-04-05,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90013117_XL1.jpg
1280528,Now FoodsReal Food Organic Agave Nectar Amber, Noodles & Cooking Ingredients,188,15.9,1.32,NORMAL DISCOUNT,2022-04-07,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90015368_XL1.jpg
1280502,Now Foods Xylitol Plus Packets, Noodles & Cooking Ingredients,149,19.9,13.33,EXPIRING SOON,2022-03-28,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90015342_XL1.jpg
1280501,"Now Foods Real Food, Date Sugar", Noodles & Cooking Ingredients,194,19.9,10.98,CLEARING STOCK,2022-04-04,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90015341_XL1.jpg
1279847,Madhava Lt Agave Nect Low Glycemic Sweetener, Noodles & Cooking Ingredients,95,14.9,5.06,SEASONAL OFFER,2022-04-02,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90014753_XL1.jpg
1279698,Eat Wholesome Organic ACV With Turmeric & Cinnamon, Noodles & Cooking Ingredients,21,14.6,7.45,CLEARING STOCK,2022-04-03,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90014600_XL1.jpg
1279697,Eat Wholesome Organic ACV With Ginger Turmeric & Chill, Noodles & Cooking Ingredients,107,14.6,7.83,CLEARING STOCK,2022-03-31,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90014599_XL1.jpg
1280128,Daito Sato Joh Hakutoh - Kirei, Noodles & Cooking Ingredients,158,7.0,4.41,CLEARING STOCK,2022-03-31,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90014983_XL1.jpg
