id,name,category,quantity,actual_price,discounted_price,discounted_reason,available_date,image_link
1322698,Rich-s Rich-s Gold Label Topping Cream, Frozen,83,5.2,2.28,CLEARING STOCK,2022-04-06,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90044829_XL1_20201105.jpg
1322963,Pastry Mart Kueh Lapis Coffee (Frozen), Frozen,53,38.5,1.29,NORMAL DISCOUNT,2022-04-08,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90044839_XL1_20201105.jpg
1322958,Pastry Mart Kueh Lapis Original (Frozen), Frozen,64,38.0,5.5,NORMAL DISCOUNT,2022-04-02,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90044837_XL1_20201105.jpg
1322954,Pastry Mart Kueh Lapis Rainbow (Frozen), Frozen,150,42.0,3.91,NORMAL DISCOUNT,2022-04-10,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90044840_XL1_20201105.jpg
1320849,QUALITY Hokkaido Basque Burnt Cheesecake (6inches), Frozen,183,29.9,5.85,SEASONAL OFFER,2022-03-28,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90042960_XL1_20201119.jpg
1305480,MELVADOS Dark Chocolate Browie, Frozen,6,12.5,3.3,SEASONAL OFFER,2022-04-05,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90032520_XL1.jpg
1310355,MELVADOS Vegetarian Brownie, Frozen,83,11.9,2.84,SEASONAL OFFER,2022-04-08,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90035391_XL1.jpg
1310312,MELVADOS Eggless Red Velvet Cake, Frozen,25,11.9,0.74,NORMAL DISCOUNT,2022-04-05,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90035390_XL1.jpg
1305459,MELVADOS Mini Brownie Sampler, Frozen,175,13.5,6.94,CLEARING STOCK,2022-04-10,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90032517_XL1.jpg
1309711,Da Paolo Gastronomia N Cake, Frozen,182,11.5,0.56,NORMAL DISCOUNT,2022-04-09,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90034735_XL1_20210204.jpg
1309685,Da Paolo Gastronomia Chocolate Caramel Crunch Cake, Frozen,11,9.5,3.59,SEASONAL OFFER,2022-04-03,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90034733_XL1_20210204.jpg
1309660,Da Paolo Gastronomia Bueno Cake, Frozen,81,11.5,7.96,EXPIRING SOON,2022-04-05,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90034731_XL1_20210204.jpg
1309636,Da Paolo Gastronomia Cookies Cheesecake, Frozen,61,10.5,2.02,SEASONAL OFFER,2022-03-29,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90034739_XL1_20210204.jpg
1309635,Da Paolo Gastronomia Crunchy Hazelnut, Frozen,162,10.5,1.3,NORMAL DISCOUNT,2022-04-07,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90034734_XL1_20210204.jpg
1309634,Da Paolo Gastronomia Pistachio Tiramisu, Frozen,56,18.9,12.32,EXPIRING SOON,2022-04-08,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90034729_XL1_20210204.jpg
1291475,Shang Yuan Starch Cubes - Matcha, Frozen,45,8.9,5.17,CLEARING STOCK,2022-04-01,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90021876_XL1.jpg
1283090,Bonvallis Dates & Walnut Fruit Cake, Frozen,163,9.6,1.21,NORMAL DISCOUNT,2022-03-31,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90016716_XL1.jpg
1282295,Kirei Sato Imo - Japanese Yam Ball - Frozen, Frozen,165,8.9,6.44,EXPIRING SOON,2022-03-29,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90016359_XL1.jpg
1272412,Mummys Kajukatli, Frozen,119,11.5,6.37,CLEARING STOCK,2022-04-04,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90012775_XL1.jpg
1270895,Silly Yaks Apple Tart - Lunch Size (Frozen), Frozen,124,6.35,2.12,SEASONAL OFFER,2022-04-02,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90011729_XL1.jpg
1271539,Waraku Hokkaido Fresh Cream DaifukuMochi w Whole Blueberry-Frozen, Frozen,109,11.8,0.21,NORMAL DISCOUNT,2022-03-29,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90012398_XL1.jpg
1271521,Hokkaido Gateaux Au Chocolat Cheese Cake - Frozen, Frozen,145,20.0,8.53,CLEARING STOCK,2022-04-02,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90012380_XL1.jpg
1271520,Kirei Hokkaido Brulee Cheese Cake - Frozen, Frozen,96,14.9,5.12,SEASONAL OFFER,2022-03-31,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90012379_XL1.jpg
1271519,Kirei Hokkaido New York Cheese Cake - Frozen, Frozen,34,19.8,15.2,EXPIRING SOON,2022-04-02,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90012378_XL1.jpg
1270937,Silly Yaks Chocolate Mud Muffin (Frozen), Frozen,19,11.9,0.41,NORMAL DISCOUNT,2022-03-30,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90011772_XL1.jpg
1278297,Haldiram-s Pista Burfee - Frozen - By Sonnamera, Frozen,76,7.95,0.91,NORMAL DISCOUNT,2022-04-06,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90013894_XL1.jpg
1331520,Dragon Phoneix Taro Pancake 5pcs, Frozen,28,6.8,0.89,NORMAL DISCOUNT,2022-03-30,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90051434_XL1_20201209.jpg
1331485,Dragon Phoneix Red Bean Pancake 5pcs, Frozen,169,6.8,0.21,NORMAL DISCOUNT,2022-04-06,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90051433_XL1_20201209.jpg
1403403,Yi Zhi Xiang Tsui Yu Oolong Castella Cake 10 Pieces, Frozen,22,22.9,1.77,NORMAL DISCOUNT,2022-04-05,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90103692_XL1_20210924.jpg
1370929,Gratefood Company Organic Acai Pulp Sweetened w Guarana Syrup, Frozen,73,12.9,5.24,CLEARING STOCK,2022-04-06,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90078896_XL1_20210706.jpg
