id,name,category,quantity,actual_price,discounted_price,discounted_reason,available_date,image_link
1377871,"Nature-s Glory Organic Raw Manuka ""XO"" Honey TFA 30+", Food Cupboard,104,55.8,30.91,CLEARING STOCK,2022-04-03,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90082715_XL1_20210709.jpg
1377825,Little Bee Organic Sidr Honey, Food Cupboard,11,29.8,7.84,SEASONAL OFFER,2022-03-31,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90083053_XL1_20220216.jpg
1377824,Little Bee Organic Eucalyptus Honey, Food Cupboard,97,16.8,0.2,NORMAL DISCOUNT,2022-03-31,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90083054_XL1_20220216.jpg
1381261,Kaya Spread Crunchy peanut butter, Food Cupboard,116,5.6,4.36,EXPIRING SOON,2022-04-03,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90085469_XL1_20210707.jpg
1381255,Kaya Spread Kaya green, Food Cupboard,147,6.0,0.19,NORMAL DISCOUNT,2022-04-08,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90085468_XL1_20210707.jpg
1381249,Kaya Spread Kaya brown, Food Cupboard,40,6.0,0.95,NORMAL DISCOUNT,2022-04-02,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90085467_XL1_20210707.jpg
1381237,Sing Kee Spread Crunchy peanut butter, Food Cupboard,171,6.0,2.36,SEASONAL OFFER,2022-04-01,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90085465_XL1_20210707.jpg
1381222,Kaya Spread Creamy peanut butter, Food Cupboard,90,5.6,0.14,NORMAL DISCOUNT,2022-03-30,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90085470_XL1_20210707.jpg
1381217,Kaya Spread Crunchy peanut butter, Food Cupboard,76,7.5,2.06,SEASONAL OFFER,2022-04-07,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90085473_XL1_20210707.jpg
1381205,Kaya Spread Kaya brown, Food Cupboard,31,7.5,3.63,CLEARING STOCK,2022-04-09,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90085475_XL1_20210707.jpg
1381193,Kaya Spread Kaya brown, Food Cupboard,178,4.0,1.08,SEASONAL OFFER,2022-04-03,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90085479_XL1_20210707.jpg
1381186,Kaya House Coffee kaya, Food Cupboard,56,8.0,5.86,EXPIRING SOON,2022-04-09,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90085455_XL1_20210707.jpg
1376537,Amores Y Sabores 1 Mango Jam + 3 Small Hot Sauces Set, Food Cupboard,3,22.83,13.23,CLEARING STOCK,2022-03-31,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90081730_XL1_20210621.jpg
