id,name,category,quantity,actual_price,discounted_price,discounted_reason,available_date,image_link
1292871,Biona Organic Wholegrain Spelt Spaghetti, Noodles & Cooking Ingredients,54,7.5,3.55,CLEARING STOCK,2022-04-01,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90022743_XL1.jpg
1401429,Simply Natural Organic Gluten Free Multigrain Black Fusilli, Noodles & Cooking Ingredients,192,4.8,1.83,SEASONAL OFFER,2022-04-05,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90102089_XL1_20210918.jpg
1401417,Simply Natural Organic Gluten Free Mung Bean Rotini, Noodles & Cooking Ingredients,29,4.8,2.11,CLEARING STOCK,2022-03-29,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90102086_XL1_20210918.jpg
1401406,Simply Natural Organic Gluten Free Multigrain Red Macaroni, Noodles & Cooking Ingredients,159,4.8,0.42,NORMAL DISCOUNT,2022-04-09,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90102087_XL1_20210918.jpg
1401387,Simply Natural Organic Gluten Free Multigrain Red Rigatoni, Noodles & Cooking Ingredients,117,4.8,3.32,EXPIRING SOON,2022-04-05,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90102090_XL1_20210918.jpg
1300512,Profusion Organic Gluten Free Green Pea Penne, Noodles & Cooking Ingredients,96,7.8,3.82,CLEARING STOCK,2022-04-08,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90028415_XL1.jpg
1300510,Profusion Organic Gluten Free Chick Pea Fusilli, Noodles & Cooking Ingredients,94,9.6,5.39,CLEARING STOCK,2022-04-06,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90028413_XL1.jpg
1300486,Difatti Casarecce Pasta, Noodles & Cooking Ingredients,27,6.6,0.71,NORMAL DISCOUNT,2022-04-07,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90028389_XL1.jpg
1290567,Kitchen & Love Organic Farfalle Pasta, Noodles & Cooking Ingredients,105,5.9,1.6,SEASONAL OFFER,2022-04-05,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90021094_XL1.jpg
1280391,Biona Organic Tri Colore Fusilli Pasta, Noodles & Cooking Ingredients,173,5.8,0.25,NORMAL DISCOUNT,2022-03-30,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90015217_XL1.jpg
1280365,Doves Farm Freee Organic 100% Red Lentil Penne Pasta Shapes, Noodles & Cooking Ingredients,6,8.9,3.03,SEASONAL OFFER,2022-04-08,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90015179_XL1.jpg
1280363,Doves Farm Freee Organic 100% Green Pea Penne Pasta Shapes, Noodles & Cooking Ingredients,77,8.9,0.74,NORMAL DISCOUNT,2022-04-08,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90015177_XL1.jpg
1279705,Eco Organics Pasta Ricotta Tortellini, Noodles & Cooking Ingredients,47,10.9,6.76,CLEARING STOCK,2022-04-03,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90014608_XL1.jpg
1279704,Eco Organics Pasta Ravioli Vegan Cheese, Noodles & Cooking Ingredients,52,10.9,6.58,CLEARING STOCK,2022-03-28,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90014607_XL1.jpg
1280104,Biona Organic Spelt Fusilli Tri-colour, Noodles & Cooking Ingredients,26,5.8,0.04,NORMAL DISCOUNT,2022-04-01,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90014959_XL1.jpg
1280103,Biona Organic Spelt Spinach Tagliatelle, Noodles & Cooking Ingredients,179,7.8,2.87,SEASONAL OFFER,2022-03-31,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90014958_XL1.jpg
1262283,Eco Organics Adzuki Beans Spaghetti, Noodles & Cooking Ingredients,87,7.6,2.57,SEASONAL OFFER,2022-04-10,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90007113_XL1.jpg
1262282,Eco Organics Black Rice Fussili, Noodles & Cooking Ingredients,102,7.6,0.56,NORMAL DISCOUNT,2022-04-10,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90007112_XL1.jpg
1268090,Belladotti Gluten Free Squid Ink Linguine Pasta, Noodles & Cooking Ingredients,31,15.9,8.81,CLEARING STOCK,2022-03-31,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90009924_XL1.jpg
1270069,Difatti Gluten Free Egg Tagliatell, Noodles & Cooking Ingredients,62,8.9,4.19,CLEARING STOCK,2022-03-31,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90010790_XL1.jpg
1265009,Mancini Tuffoli, Noodles & Cooking Ingredients,56,8.6,3.78,CLEARING STOCK,2022-03-31,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90008633_XL1.jpg
1263537,Honest To Goodness Zoo Pasta With Tomato And Spinach, Noodles & Cooking Ingredients,71,10.9,1.13,NORMAL DISCOUNT,2022-04-07,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90007971_XL1.jpg
1263481,Artigiani Del Tartufo Black Truffle Tagliatelle Egg Pasta, Noodles & Cooking Ingredients,176,13.9,10.99,EXPIRING SOON,2022-03-29,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90007915_XL1.jpg
1257339,Liguori Artisan Candele Lunghe 112 I.G.P. Pasta, Noodles & Cooking Ingredients,146,8.6,0.26,NORMAL DISCOUNT,2022-04-02,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90005381_XL1.jpg
175504,FairPrice Coffee & Tea Sweetener, Housebrand,67,1.0,0.28,SEASONAL OFFER,2022-03-31,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13033679_XL1_20220217.jpg
177722,Singlong Gula Malacca, Noodles & Cooking Ingredients,199,3.6,0.99,SEASONAL OFFER,2022-04-02,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/64684_XL1_20210610.jpg
193480,Teapot Evaporated Creamer, Noodles & Cooking Ingredients,95,1.2,0.16,NORMAL DISCOUNT,2022-04-05,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/11974855_XL1.jpg
1326098,GPA Sugar - 100% Natural Fine Cane Sugar, Noodles & Cooking Ingredients,149,1.8,1.28,EXPIRING SOON,2022-03-31,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90047216_XL1_20201118.jpg
1102527,Taikoo Unrefined Cane Sugar - Raw , Noodles & Cooking Ingredients,100,2.8,0.54,SEASONAL OFFER,2022-04-07,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/11557197_XL1.jpg
1321655,Hong Crystal Rock Sugar, Noodles & Cooking Ingredients,146,2.0,0.92,CLEARING STOCK,2022-03-31,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90043737_XL1_20201103.jpg
1380294,GPA Sugar - 100% Natural Raw Sugar, Noodles & Cooking Ingredients,19,4.2,2.12,CLEARING STOCK,2022-04-02,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90084606_XL1_20210702.jpg
185630,Native Organic Sugar - Turbinado, Noodles & Cooking Ingredients,100,4.5,1.58,SEASONAL OFFER,2022-04-02,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13032368_XL1.jpg
168189,iLIte Stevia Natural Sweetener (Sugar Free), Noodles & Cooking Ingredients,40,7.2,3.97,CLEARING STOCK,2022-04-07,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13097104_XL1.jpg
1326218,GPA Sugar - 100% Natural Fine Cane Sugar, Noodles & Cooking Ingredients,80,3.4,2.15,CLEARING STOCK,2022-04-03,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90047217_XL1_20201118.jpg
181695,Billington-s Natural Unrefined Cane Sugar - Demerara, Noodles & Cooking Ingredients,156,3.45,1.85,CLEARING STOCK,2022-04-05,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/391920_XL1.jpg
182116,Hershey-s Chocolate Syrup, Noodles & Cooking Ingredients,34,5.95,3.08,CLEARING STOCK,2022-03-30,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/195223_XL1_20210125.jpg
156069,Lipco Sugar Sticks - Raw, Noodles & Cooking Ingredients,144,3.05,1.73,CLEARING STOCK,2022-04-04,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13103678_XL1_20210711.jpg
1114732,LBS Palm Sugar, Noodles & Cooking Ingredients,124,3.35,0.2,NORMAL DISCOUNT,2022-03-29,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13149026_XL1_20210310.jpg
176880,SIS Cane Sugar - Demerara, Noodles & Cooking Ingredients,73,5.95,3.62,CLEARING STOCK,2022-04-08,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13108804_XL1.jpg
182639,SIS Lite Sugar Blend - Extra Fine (Sachets), Noodles & Cooking Ingredients,102,2.7,1.82,EXPIRING SOON,2022-04-03,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13084315_XL1.jpg
1103187,Equal Sweetener Tablets - Low Calorie, Noodles & Cooking Ingredients,16,15.5,9.74,CLEARING STOCK,2022-04-07,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/478223_XL1.jpg
1356862,Laobanniang Big Yellow Rock Sugar, Noodles & Cooking Ingredients,100,4.0,1.68,CLEARING STOCK,2022-03-30,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90067172_XL1_20210403.jpg
164419,Pasar Sugar - Black, Housebrand,88,0.95,0.41,CLEARING STOCK,2022-04-05,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/10521766_XL1_20210901.jpg
1102594,Equal Sweetener Sachets - Gold (Crunchy Granular) , Noodles & Cooking Ingredients,183,5.95,4.66,EXPIRING SOON,2022-04-10,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13078717_XL1_20220117.jpg
