id,name,category,quantity,actual_price,discounted_price,discounted_reason,available_date,image_link
1346949,Grozer Freshly Peeled Yellow Onion (Australia/Netherlands), Fruits & Vegetables,6,5.9,1.16,SEASONAL OFFER,2022-03-28,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90059482_XL1_20210209.jpg
1318651,Relish Chye Sim, Fruits & Vegetables,62,5.25,4.09,EXPIRING SOON,2022-03-28,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90041752_XL1_20201025.jpg
1278367,Kirei ANNO IMO Japanese Roasted Sweet Potato - Frozen (S Size, Fruits & Vegetables,8,11.9,0.56,NORMAL DISCOUNT,2022-04-10,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90013964_XL1.jpg
198539,Freshmart Korean Cheongyong Gochu, Fruits & Vegetables,149,7.5,5.96,EXPIRING SOON,2022-03-31,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13119593_XL1.jpg
1416426,The Little Red Farm Thai Basil, Fruits & Vegetables,13,3.9,1.03,SEASONAL OFFER,2022-03-28,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90113500_XL1_20211210.jpg
1412946,FreshCo. English Curly Parsley, Fruits & Vegetables,173,3.5,2.36,EXPIRING SOON,2022-04-10,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90110939_XL1_20211112.jpg
1414936,Smart Knife Ready to Cook Lemon Grass Slices, Fruits & Vegetables,134,1.55,0.92,CLEARING STOCK,2022-03-29,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90112240_XL1_20211124.jpg
1376279,Pan-s Meat Edamame (Soy Bean), Fruits & Vegetables,64,3.5,2.29,EXPIRING SOON,2022-03-28,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90081595_XL1_20210620.jpg
1356186,Alce Nero Organic Frozen Peas, Fruits & Vegetables,88,9.2,0.3,NORMAL DISCOUNT,2022-04-04,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90066789_XL1_20210330.jpg
1365878,K Fresh Shimeji White Mushroom, Fruits & Vegetables,75,5.2,1.69,SEASONAL OFFER,2022-04-09,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13199483_XL1_20211109.jpg
1371375,Good Nature Organic Western Box, Fruits & Vegetables,117,38.0,20.1,CLEARING STOCK,2022-04-01,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90079194_XL1_20210605.jpg
1379591,Gelcampo Spinach Leaf Portions, Fruits & Vegetables,166,31.0,22.23,EXPIRING SOON,2022-04-09,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90084325_XL1_20210701.jpg
1379564,Yi Dah Xing Golden Mushroom Meat, Fruits & Vegetables,118,25.8,10.29,SEASONAL OFFER,2022-04-09,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90084261_XL1_20210701.jpg
1380501,Nanak Khoa, Fruits & Vegetables,70,5.95,2.05,SEASONAL OFFER,2022-04-09,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90084934_XL1_20210704.jpg
1340785,Ikedako Shokuhin Ibusuki Onsen Black Garlic, Fruits & Vegetables,192,14.8,8.59,CLEARING STOCK,2022-04-07,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90054411_XL1_20210105.jpg
