id,name,category,quantity,actual_price,discounted_price,discounted_reason,available_date,image_link
1292246,Lotus Organic Brown Linseed (Flaxseed) Meal, Noodles & Cooking Ingredients,2,9.9,5.48,CLEARING STOCK,2022-04-10,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90022344_XL1.jpg
1419550,24 Mantra Organic Sprouted Whole Wheat Atta, Noodles & Cooking Ingredients,151,4.8,3.69,EXPIRING SOON,2022-04-09,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90115887_XL1_20211224.jpg
1394027,Nona Custard Powder, Noodles & Cooking Ingredients,80,2.55,0.68,SEASONAL OFFER,2022-04-02,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90095848_XL1_20211205.jpg
1419551,24 Mantra Organic Sprouted Multigrain Atta, Noodles & Cooking Ingredients,168,4.8,3.17,EXPIRING SOON,2022-04-10,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90115888_XL1_20211224.jpg
1307359,Dr Karg Organic Crispbread Spelt with Emmental Cheese, Noodles & Cooking Ingredients,153,9.9,5.88,CLEARING STOCK,2022-04-06,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90033584_XL1_20210826.jpg
1291542,VinTonic Coral Seaweed Jelly - Rock Sugar Original, Noodles & Cooking Ingredients,15,8.9,5.36,CLEARING STOCK,2022-03-30,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90021943_XL1.jpg
1287798,Just Organik Organic Whole Wheat Flour(Atta), Noodles & Cooking Ingredients,50,12.0,7.36,CLEARING STOCK,2022-04-10,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90018853_XL1.jpg
1410522,"Kirei Tamanoi GOKOKU SU ""Five Grains"" Vinegar", Noodles & Cooking Ingredients,183,5.8,3.76,EXPIRING SOON,2022-04-10,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90109184_XL1_20211028.jpg
1423735,Parliament Rice Poha Certified Organic, Noodles & Cooking Ingredients,78,3.2,0.51,SEASONAL OFFER,2022-04-09,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90119333_XL1_20220119.jpg
1415313,Well & Good Pastry Flour Blend, Noodles & Cooking Ingredients,145,11.9,4.59,SEASONAL OFFER,2022-04-01,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90112607_XL1_20211127.jpg
1422329,Valrhona Feve Inspiration Strawberry, Noodles & Cooking Ingredients,94,19.5,1.52,NORMAL DISCOUNT,2022-04-07,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90118207_XL1_20220111.jpg
1379673,GDFood Breadcrumbs (White), Noodles & Cooking Ingredients,150,7.5,0.5,NORMAL DISCOUNT,2022-04-02,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90084131_XL1_20210701.jpg
1394963,Lotus Sweet Potato Flour, Noodles & Cooking Ingredients,186,21.99,13.87,CLEARING STOCK,2022-04-02,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90096811_XL1_20210825.jpg
1378630,Branca De Neve Orange Tarts Mix, Noodles & Cooking Ingredients,5,6.0,4.0,EXPIRING SOON,2022-04-01,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90083374_XL1_20210628.jpg
1355463,Melinda-s Gluten Free Red Velvet Cake Premix, Noodles & Cooking Ingredients,91,10.9,3.83,SEASONAL OFFER,2022-04-03,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90066119_XL1_20210324.jpg
1363142,Slurrp Farm Vanilla Cake Mix, Noodles & Cooking Ingredients,161,8.9,3.73,CLEARING STOCK,2022-04-04,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90072679_XL1_20210425.jpg
1342822,Espiga All Purpose Flour, Noodles & Cooking Ingredients,72,10.0,1.27,NORMAL DISCOUNT,2022-04-05,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90055965_XL1_20210118.jpg
1340681,Marriages 100% Very Strong Canadian White Flour, Noodles & Cooking Ingredients,48,5.9,2.07,SEASONAL OFFER,2022-03-28,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90054595_XL1_20210106.jpg
1311617,Shears Belgian White Pure Chocolate B30 Ideal for Baking too, Noodles & Cooking Ingredients,107,6.9,2.24,SEASONAL OFFER,2022-04-06,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90036193_XL1.jpg
1311492,Shears Belgian White Pure Chocolate B30 Ideal for Baking too, Noodles & Cooking Ingredients,97,13.9,7.04,CLEARING STOCK,2022-03-28,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90036194_XL1.jpg
1308273,Dr Gram Organic Spelt Flour (White), Noodles & Cooking Ingredients,5,6.75,1.2,SEASONAL OFFER,2022-04-06,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90034095_XL1_20211130.jpg
1306417,Dr Gram Organic Pure Oat Flour, Noodles & Cooking Ingredients,113,6.5,1.51,SEASONAL OFFER,2022-04-05,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90033049_XL1_20211130.jpg
1306413,Dr Gram Organic Unbleached Plain Wheat Flour (General Purpose, Noodles & Cooking Ingredients,67,6.0,1.98,SEASONAL OFFER,2022-03-31,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90033045_XL1_20211130.jpg
1306412,Dr Gram Organic Hi-Protein Wholewheat Flour, Noodles & Cooking Ingredients,69,6.0,2.29,SEASONAL OFFER,2022-04-02,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90033044_XL1_20211130.jpg
1292242,Lotus Organic Amaranth Flour, Noodles & Cooking Ingredients,43,10.9,4.44,CLEARING STOCK,2022-04-07,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90022340_XL1.jpg
1272411,Mummys Coconut Grated, Noodles & Cooking Ingredients,115,1.7,0.63,SEASONAL OFFER,2022-04-01,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90012773_XL1.jpg
1280388,Biona Organic Coconut Milk Powder, Noodles & Cooking Ingredients,35,9.6,4.57,CLEARING STOCK,2022-04-01,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90015213_XL1.jpg
1279048,De Japan Gluten Free Karaage Powder, Noodles & Cooking Ingredients,7,5.65,4.0,EXPIRING SOON,2022-04-10,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90014169_XL1.jpg
1279046,De Japan Gluten Free Tempura Powder, Noodles & Cooking Ingredients,109,4.8,1.13,SEASONAL OFFER,2022-03-29,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90014167_XL1.jpg
1279045,De Japan Gluten Free Fry Flour, Noodles & Cooking Ingredients,110,6.8,2.17,SEASONAL OFFER,2022-04-06,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90014166_XL1.jpg
1262117,Lotus Organic Brown Rice Flour, Noodles & Cooking Ingredients,114,9.9,2.08,SEASONAL OFFER,2022-04-09,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90007054_XL1.jpg
1262110,Lotus Xanthan Gum, Noodles & Cooking Ingredients,23,5.9,1.61,SEASONAL OFFER,2022-04-04,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90007046_XL1.jpg
1262109,Lotus Raw Austrian Organic Gluten Free Pumpkin Seed Flour, Noodles & Cooking Ingredients,101,17.9,2.71,NORMAL DISCOUNT,2022-04-04,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90007045_XL1.jpg
1262108,Lotus Organic White Rice Flour, Noodles & Cooking Ingredients,45,8.9,3.63,CLEARING STOCK,2022-04-02,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90007044_XL1.jpg
1261878,Steenbergs Orange Flower Water Organic, Noodles & Cooking Ingredients,28,13.9,9.87,EXPIRING SOON,2022-04-05,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90006915_XL1.jpg
1261877,Steenbergs Almond Extract, Noodles & Cooking Ingredients,174,23.9,14.16,CLEARING STOCK,2022-04-06,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90006914_XL1.jpg
1264141,Lupin Superlupin Protein Cookie Mix With Almond & Cacao, Noodles & Cooking Ingredients,130,16.05,3.31,SEASONAL OFFER,2022-03-30,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90008300_XL1.jpg
1264140,Lupin Superlupin Crumbing Mix With Lemon Pepper, Noodles & Cooking Ingredients,97,13.9,8.32,CLEARING STOCK,2022-04-03,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90008299_XL1.jpg
1264027,Vegan House Raw Organic Peruvian Cacao Powder, Noodles & Cooking Ingredients,27,13.8,2.24,SEASONAL OFFER,2022-04-03,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90005115_XL1.jpg
1263515,Global Organic Coconut Sugar, Noodles & Cooking Ingredients,181,16.3,9.6,CLEARING STOCK,2022-04-03,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90007949_XL1.jpg
