id,name,category,quantity,actual_price,discounted_price,discounted_reason,available_date,image_link
1413715,Splenda Low Calorie Sweetener Tablet Dispenser, Noodles & Cooking Ingredients,83,18.0,4.88,SEASONAL OFFER,2022-04-01,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90111454_XL1_20211118.jpg
1388040,Syed Original Rose water, Noodles & Cooking Ingredients,43,2.2,1.55,EXPIRING SOON,2022-04-06,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90091064_XL1_20210729.jpg
1341865,24 Mantra Organic Jaggery Blocks, Noodles & Cooking Ingredients,64,6.75,5.28,EXPIRING SOON,2022-03-29,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90055350_XL1_20210112.jpg
1328040,Uncle Ram-s Organic Cane Jaggery (5 packs), Noodles & Cooking Ingredients,135,13.5,1.76,NORMAL DISCOUNT,2022-04-03,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90048837_XL1_20210726.jpg
1315866,Parry-s Natural Brown sugar Jar, Noodles & Cooking Ingredients,111,2.8,0.35,NORMAL DISCOUNT,2022-04-03,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90039519_XL1_20201015.jpg
1303886,Green Earth Organic Blackstrapped Molasses, Noodles & Cooking Ingredients,122,9.9,3.24,SEASONAL OFFER,2022-03-29,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90031195_XL1.jpg
1305114,Gabrielle T Organic Cane Sugar, Noodles & Cooking Ingredients,163,7.9,3.93,CLEARING STOCK,2022-04-04,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90032308_XL1.jpg
1290665,NutriRight 100% Erythritol, Noodles & Cooking Ingredients,178,7.5,3.15,CLEARING STOCK,2022-03-30,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90021176_XL1.jpg
1283077,La Perruche Amber (Brown) Cube Sugar, Noodles & Cooking Ingredients,116,11.95,9.36,EXPIRING SOON,2022-04-04,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90016692_XL1.jpg
1277411,Just Organik Organic Stevia Powder, Noodles & Cooking Ingredients,103,4.85,1.25,SEASONAL OFFER,2022-04-04,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90013217_XL1.jpg
1278524,Zestiva Brown Sugar Winter Melon (10 cubes), Noodles & Cooking Ingredients,53,10.9,0.6,NORMAL DISCOUNT,2022-03-29,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90014121_XL1_20210612.jpg
1412881,Kirei Japan Pebbles Brown Sugar Cube, Noodles & Cooking Ingredients,172,5.9,2.11,SEASONAL OFFER,2022-04-02,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90110917_XL1_20211111.jpg
1409351,KBS Refined Sugar, Noodles & Cooking Ingredients,45,28.9,2.54,NORMAL DISCOUNT,2022-04-06,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90108393_XL1_20211025.jpg
