id,name,category,quantity,actual_price,discounted_price,discounted_reason,available_date,image_link
1293510,Hego Chicken Wing, Frozen,65,13.5,5.55,CLEARING STOCK,2022-04-10,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90023317_XL1.jpg
1289903,CB Herbal Kampong Chicken, Frozen,102,14.8,9.7,EXPIRING SOON,2022-04-10,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90020542_XL1_20210807.jpg
1290839,Hego NZ PS Beef Striploin, Frozen,83,9.7,3.6,SEASONAL OFFER,2022-04-02,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90021276_XL1_20210222.jpg
1291337,Food People Steamboat Ball - Squid Ink Cuttlefish Ball, Frozen,53,5.9,4.33,EXPIRING SOON,2022-04-05,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90021740_XL1.jpg
1270954,Ryan-s Organic Beef Cube (Stew) - Australia (Frozen), Frozen,182,14.7,8.6,CLEARING STOCK,2022-04-07,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90011789_XL1.jpg
1270953,Ryan-s Free-Range Pork Farmhouse Sausage (Frozen), Frozen,131,13.0,6.01,CLEARING STOCK,2022-04-04,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90011788_XL1.jpg
1270921,Borrowdale Free Range Pork Collar Shabu Shabu - Australia(Frozen), Frozen,85,9.8,3.69,SEASONAL OFFER,2022-04-06,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90011756_XL1.jpg
1270917,Ryan-s Organic Beef Brisket Shabu Shabu - Australia (Frozen), Frozen,182,12.4,5.47,CLEARING STOCK,2022-04-01,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90011752_XL1.jpg
1412719,The Artful Butcher Australia Free Range Pork Dice Meat, Frozen,89,14.5,11.21,EXPIRING SOON,2022-03-31,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90110771_XL1_20211110.jpg
1414017,Nat Chicken Wingstick Drumette Individually Frozen, Frozen,54,7.9,2.17,SEASONAL OFFER,2022-04-06,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90111617_XL1_20211119.jpg
1410511,Tasty Food Affair Chicken Cheese Cocktail Sausage, Frozen,147,16.5,4.19,SEASONAL OFFER,2022-03-30,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90109115_XL1_20211028.jpg
1423376,KSP FOOD Frozen Marinated Chicken Bulgogi, Frozen,137,8.3,1.63,SEASONAL OFFER,2022-04-05,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90119049_XL1_20220118.jpg
1423373,KSP FOOD Frozen Marinated Spicy Chicken Bulgogi, Frozen,135,8.3,3.79,CLEARING STOCK,2022-04-08,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90119046_XL1_20220118.jpg
1405347,Meat Affair Marinated Black Pepper Pork Prime Ribs, Frozen,26,18.8,11.5,CLEARING STOCK,2022-03-30,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90105214_XL1_20211118.jpg
1417587,Zac Butchery Beef Kofta Kebab - 6 pcs, Frozen,115,14.5,11.57,EXPIRING SOON,2022-03-29,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90114432_XL1_20211214.jpg
1414338,Master Grocer 99% Fat Free Chicken Breast Portion, Frozen,65,7.95,3.88,CLEARING STOCK,2022-04-01,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90111831_XL1_20211122.jpg
1408730,Baggie-s Premium Chicken Breast, Frozen,31,10.0,5.91,CLEARING STOCK,2022-04-06,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90107958_XL1_20211020.jpg
1408799,Baggie-s Premium Grass-Fed Lean Lamb Leg Cubes, Frozen,189,15.0,7.77,CLEARING STOCK,2022-03-31,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90107937_XL1_20211020.jpg
1400422,Catch Seafood Chicken Chop Chipotle, Frozen,76,4.5,3.51,EXPIRING SOON,2022-04-03,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90101073_XL1_20210915.jpg
1391290,Vion Food Pork Belly Shabu Slices 500g, Frozen,35,9.9,0.6,NORMAL DISCOUNT,2022-03-29,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90093628_XL1_20210813.jpg
1368279,Tasty Food Affair Bone-in Pork Chop, Frozen,125,6.5,0.98,NORMAL DISCOUNT,2022-03-28,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90076869_XL1_20210518.jpg
1367466,The Meat Club Free Range Lamb Rack Frenched - New Zealand, Frozen,160,45.0,25.46,CLEARING STOCK,2022-04-07,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90076132_XL1_20210514.jpg
1370114,MMMM Fresh Aus Wagyu Beef Ribeye Shabu Mb6/7, Frozen,172,29.8,9.69,SEASONAL OFFER,2022-03-29,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90078175_XL1_20210528.jpg
1370086,MMMM Aus Wagyu Beef Tongue Shabu, Frozen,191,14.8,2.0,NORMAL DISCOUNT,2022-04-01,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90078171_XL1_20210528.jpg
1361378,The Cellar Door Pork Fillet Stir Fry - Frozen, Frozen,67,7.45,3.11,CLEARING STOCK,2022-04-07,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90068995_XL1_20210415.jpg
1396001,Simply Meat Kurobuta Pork Belly Sukiyaki, Frozen,186,9.9,3.75,SEASONAL OFFER,2022-04-04,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90097584_XL1_20210827.jpg
1351038,Pan-s Meat Pork Shoulder Cubes, Frozen,82,5.8,0.61,NORMAL DISCOUNT,2022-03-29,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90062743_XL1_20210305.jpg
1356723,MMMM Meaty Pork Bone, Frozen,194,5.5,4.09,EXPIRING SOON,2022-04-09,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90067060_XL1_20210401.jpg
1357997,FRY-S Meatballs, Frozen,10,9.0,2.83,SEASONAL OFFER,2022-04-10,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90068096_XL1_20210409.jpg
1350032,Pan-s Meat Mutton Minced, Frozen,13,10.7,2.37,SEASONAL OFFER,2022-04-04,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90061820_XL1_20210301.jpg
1350668,Amul Cheese Onion Pocket 300G -- By Dashmesh, Frozen,185,3.7,2.12,CLEARING STOCK,2022-03-29,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90062471_XL1_20210304.jpg
1356081,Wicks Manor English Pork Belly, Frozen,61,14.9,9.38,CLEARING STOCK,2022-04-07,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90066612_XL1_20210329.jpg
1356053,Wicks Manor English Pork Mince, Frozen,112,14.9,3.22,SEASONAL OFFER,2022-03-31,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90066608_XL1_20210329.jpg
1354763,MELVADOS Melvados Cajun Chicken (4 portions), Frozen,185,15.0,10.7,EXPIRING SOON,2022-03-28,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90065497_XL1_20210322.jpg
1355208,Fox River Australian Free-Range Chicken Breasts, Frozen,186,16.9,1.98,NORMAL DISCOUNT,2022-03-30,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90065964_XL1_20210323.jpg
1344483,Aw-s Market Pork Collar Shabu (Frozen), Frozen,11,12.95,3.18,SEASONAL OFFER,2022-04-05,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90057245_XL1_20210126.jpg
1345560,Al-Lazat Mutton Cube, Frozen,82,6.5,2.85,CLEARING STOCK,2022-04-09,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90058226_XL1_20210201.jpg
1341260,QL Fish & Soy, Frozen,33,3.1,0.5,NORMAL DISCOUNT,2022-04-04,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90054904_XL1_20210108.jpg
1343387,Nature & Respect Free Range Chicken Mid Wing, Frozen,112,13.2,1.33,NORMAL DISCOUNT,2022-04-01,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90056343_XL1_20210120.jpg
1330577,The Meat Club Grass Fed Tomahawk Steak - Australia, Frozen,79,58.9,35.39,CLEARING STOCK,2022-04-09,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90050805_XL1_20201203.jpg
1330917,Churo Chicken Katsu, Frozen,175,6.8,4.5,EXPIRING SOON,2022-04-06,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90051085_XL1_20201206.jpg
1330871,Churo Duck Breast, Frozen,126,13.9,3.92,SEASONAL OFFER,2022-04-07,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90051082_XL1_20201206.jpg
1326264,Yuan Jen Vegetarian Golden Duck (225G), Frozen,44,3.9,2.38,CLEARING STOCK,2022-04-09,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90047304_XL1_20201118.jpg
1326245,Sincere Vegan Fried Chicken (Vegetarian), Frozen,10,8.2,6.33,EXPIRING SOON,2022-04-08,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90047287_XL1_20201118.jpg
1315963,Meat Affair Mala Mid Joint, Frozen,123,6.8,2.48,SEASONAL OFFER,2022-04-10,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90039615_XL1_20201016.jpg
1321731,Hego Turkey Cube, Frozen,155,13.4,5.19,SEASONAL OFFER,2022-03-31,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90043634_XL1_20201128.jpg
1308528,The Cellar Door Chicken Wings - Frozen, Frozen,169,6.45,1.89,SEASONAL OFFER,2022-03-31,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90034084_XL1.jpg
1308199,The Cellar Door Pork Chop Boneless - Frozen, Frozen,20,6.95,3.2,CLEARING STOCK,2022-04-01,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90034168_XL1.jpg
1304096,Liang Yi Vegetarian Prawn, Frozen,125,4.9,2.68,CLEARING STOCK,2022-03-28,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90031376_XL1.jpg
1304086,Liang Yi Vegetarian Char Siew vs Popcorn chicken, Frozen,192,2.5,1.6,CLEARING STOCK,2022-04-05,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90031366_XL1_20210115.jpg
1304085,Liang Yi Vegetarian Chicken Slice vs Goose, Frozen,118,2.5,0.84,SEASONAL OFFER,2022-04-05,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90031365_XL1.jpg
