id,name,category,quantity,actual_price,discounted_price,discounted_reason,available_date,image_link
1254763,Torres De Casta Rosado-By Culina , Wine & Spirits,158,40.2,29.86,EXPIRING SOON,2022-04-08,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90004356_XL1.jpg
1254762,Torres Gran Muralles Conca De Barbera-By Culina , Wine & Spirits,39,203.5,137.31,EXPIRING SOON,2022-03-28,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90004355_XL1.jpg
1254760,Torres Celeste Crianza Doc-By Culina , Wine & Spirits,106,58.4,18.09,SEASONAL OFFER,2022-03-30,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90004353_XL1.jpg
1254759,Torres Altos Ibericos Crianza Doc-By Culina , Wine & Spirits,25,45.7,34.31,EXPIRING SOON,2022-04-09,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90004352_XL1.jpg
1254754,Torbreck The Steading Rouge-By Culina , Wine & Spirits,94,103.4,26.09,SEASONAL OFFER,2022-04-04,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90004347_XL1.jpg
1254748,Taittinger Brut Reserve Case + Free Bucket, Wine & Spirits,73,793.4,67.76,NORMAL DISCOUNT,2022-03-31,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90004341_XL1.jpg
1254747,Taittinger Brut Reserve Case + 6 Free Flutes, Wine & Spirits,117,793.4,521.06,EXPIRING SOON,2022-04-03,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90004340_XL1.jpg
1254746,Taittinger Brut Reserve 4 Bottles + 4 Free Flutes-By Culina , Wine & Spirits,145,515.4,384.96,EXPIRING SOON,2022-04-06,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90004339_XL1.jpg
1254745,Ruffino Vin Santo Serelle Del Chianti D.O.C., Wine & Spirits,107,55.0,8.55,NORMAL DISCOUNT,2022-04-04,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90004338_XL1.jpg
1254742,Ruffino Lumina Pinot Grigio, Wine & Spirits,187,49.0,20.6,CLEARING STOCK,2022-04-09,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90004335_XL1.jpg
1254733,Robert Mondavi Private Selection Merlot, Wine & Spirits,23,55.0,14.58,SEASONAL OFFER,2022-03-29,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90004326_XL1.jpg
1254731,Robert Mondavi Oakville Cabernet Sauvignon-By Culina , Wine & Spirits,65,159.0,8.32,NORMAL DISCOUNT,2022-03-31,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90004324_XL1.jpg
1253160,Warre-S Vintage 1985, Wine & Spirits,161,151.7,87.49,CLEARING STOCK,2022-03-31,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90003706_XL1.jpg
1253158,Tosazuru Karakuchi, Wine & Spirits,45,75.9,41.45,CLEARING STOCK,2022-04-04,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90003704_XL1.jpg
1253157,Masumi Sanka Junmai Daiginjyo, Wine & Spirits,6,87.4,43.92,CLEARING STOCK,2022-04-08,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90003703_XL1.jpg
1253156,Kubota Manju Junmai Daiginjyo, Wine & Spirits,72,97.8,27.35,SEASONAL OFFER,2022-04-03,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90003702_XL1.jpg
1253150,Bunkajin Tokubetsu Junmai, Wine & Spirits,175,45.5,4.45,NORMAL DISCOUNT,2022-04-05,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90003696_XL1.jpg
